sentence	pictos_ref_ids	sense_keys
pendant combien de jours avez vous été immobilisé	[[24737], [7073], [7074], [7022], [], [2608], [5858], []]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::'], [], [], ['be%2:42:03::', 'be%2:42:06::'], []]
y a t il quelqu'un dans votre famille qui a la varicelle	[[9001], [9001], [9001], [9001], [7116], [7116], [7034], [12285], [2392], [10276], [9001], [8476], [7822]]	[['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['be%2:42:00::', 'exist%2:42:00::'], ['group%1:03:00::', 'grouping%1:03:00::', 'staff%1:14:01::', 'people%1:14:00::'], ['group%1:03:00::', 'grouping%1:03:00::', 'staff%1:14:01::', 'people%1:14:00::'], [], [''], ['family%1:14:00::', 'family_unit%1:14:00::'], [''], ['be%2:42:00::', 'exist%2:42:00::'], [], ['chickenpox%1:26:00::', 'varicella%1:26:00::']]
avez vous une sensation de brûlure aux yeux	[[9001], [2608], [8474], [25445], [7074], [36155], [11709], [2876]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['sensation%1:09:01::', 'sense%1:09:02::', 'sensory_faculty%1:09:00::', 'sentience%1:09:00::', 'sentiency%1:09:00::'], [], ['burn%2:43:02::', 'combust%2:43:02::'], [], ['eye%1:08:00::', 'oculus%1:08:00::', 'optic%1:08:00::']]
avez vous perdu la vue de l'oeil gauche	[[9001], [2608], [5526], [8476], [36041], [7074], [8476], [6573], [9203]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['no%1:10:00::', 'no%4:02:00::', 'no%4:02:01::'], [], ['sight%1:04:00::', 'survey%1:04:01::', 'view%1:04:00::'], [], [], ['eye%1:08:00::', 'oculus%1:08:00::', 'optic%1:08:00::', 'sight%1:09:00::', 'vision%1:09:01::', 'visual_modality%1:09:00::', 'visual_sense%1:09:00::'], ['left%1:04:00::', 'left%1:15:00::', 'left%3:00:00::']]
avez vous des vertiges la nuit	[[9001], [2608], [8477], [7155], [8476], [7181]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['dizzy%2:30:00::'], [], ['night%1:28:02::', 'dark%1:28:00::', 'night%1:28:00::', 'nighttime%1:28:00::', 'night%1:28:03::', 'night%1:28:05::']]
combien de kilos avez vous pris	[[7073], [7074], [7138], [9001], [2608], [7082]]	[['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['kg%1:23:00::', 'kilo%1:23:00::', 'kilogram%1:23:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], ['gain%2:29:00::', 'put_on%2:29:03::', 'fill_out%2:29:00::', 'flesh_out%2:29:00::', 'round%2:29:00::', 'fat%2:34:00::', 'fatten%2:34:00::', 'fatten_out%2:34:00::', 'fatten_up%2:34:00::', 'fill_out%2:34:00::', 'flesh_out%2:34:00::', 'plump%2:34:00::', 'plump_out%2:34:00::']]
avez vous la peau ou les yeux jaunes	[[9001], [2608], [8476], [2840], [11317], [8477], [2876], [2648]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['cutis%1:08:00::', 'skin%1:08:00::', 'tegument%1:08:00::'], [], [], ['eye%1:08:00::', 'oculus%1:08:00::', 'optic%1:08:00::'], ['xanthous%5:00:00:chromatic:00', 'yellow%5:00:00:chromatic:00', 'yellowish%5:00:00:chromatic:00', 'yellow%1:07:00::', 'yellowness%1:07:00::']]
la douleur est elle comme une brûlure	[[8476], [2367], [5858], [], [12313], [8474], [10266]]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], [], [], ['burn%1:26:01::', 'burn%1:07:00::', 'burn_mark%1:07:00::']]
avez vous changé de lunettes dernièrement	[[9001], [2608], [8053], [7074], [3329], [9839]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['change%2:40:00::', 'exchange%2:40:00::', 'interchange%2:40:00::'], [], ['eyeglasses%1:06:00::', 'glasses%1:06:00::', 'specs%1:06:00::', 'spectacles%1:06:00::'], ['past%3:00:00::']]
avez vous des caries	[[9001], [2608], [8477], [21494]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['caries%1:22:00::', 'cavity%1:22:00::', 'dental_caries%1:22:00::', 'tooth_decay%1:22:00::']]
utilisez vous des préservatifs	[[15485], [2608], [8477], [31682]]	[['apply%2:34:00::', 'employ%2:34:00::', 'use%2:34:01::', 'utilise%2:34:00::', 'utilize%2:34:00::'], [], [], ['condom%1:06:00::', 'prophylactic%1:06:00::', 'rubber%1:06:01::', 'safe%1:06:01::', 'safety%1:06:01::', 'birth_control_device%1:06:00::', 'contraceptive%1:06:00::', 'contraceptive_device%1:06:00::', 'preventative%1:06:02::', 'preventive%1:06:02::', 'prophylactic_device%1:06:00::']]
quelle pilule prenez vous	[[22620], [34565], [2349], [2608]]	[[], ['lozenge%1:06:00::', 'pill%1:06:00::', 'tab%1:06:00::', 'tablet%1:06:00::'], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], []]
pliez vos deux jambes s'il vous plaît	[[6549], [12287], [2628], [8666], [8195], [8195], [8195], [8195]]	[['arise%2:29:00::', 'get_up%2:29:00::', 'rise%2:29:08::', 'turn_out%2:29:00::', 'uprise%2:29:00::'], [''], ['2%1:23:00::', 'deuce%1:23:00::', 'ii%1:23:00::', 'two%1:23:00::', 'number%1:10:01::', 'numeral%1:10:00::', 'number%1:23:00::'], ['leg%1:08:01::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::']]
pouvez vous lever les bras et fermer les yeux s'il vous plaît	[[11750], [2608], [9034], [9034], [9034], [11399], [10146], [10146], [10146], [8195], [8195], [8195], [8195]]	[[''], [], ['cognise%2:31:00::', 'cognize%2:31:00::', 'know%2:31:01::'], ['cognise%2:31:00::', 'cognize%2:31:00::', 'know%2:31:01::'], ['cognise%2:31:00::', 'cognize%2:31:00::', 'know%2:31:01::'], [], ['close%2:35:00::', 'shut%2:35:00::', 'closed%3:00:03::', 'shut%3:00:02::'], ['close%2:35:00::', 'shut%2:35:00::', 'closed%3:00:03::', 'shut%3:00:02::'], ['close%2:35:00::', 'shut%2:35:00::', 'closed%3:00:03::', 'shut%3:00:02::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::'], ['act%2:29:00::', 'behave%2:29:00::', 'do%2:29:09::', 'please%4:02:00::', 'beg%2:32:00::', 'implore%2:32:00::', 'pray%2:32:01::', 'beg%2:32:01::', 'solicit%2:32:00::', 'tap%2:32:00::']]
vos jambes sont elles gonflées	[[12287], [8666], [5858], [], [15399]]	[[''], ['leg%1:08:01::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['speech_therapy%1:04:00::', 'blow_up%2:30:04::', 'inflate%2:30:00::', 'cheek%1:08:00::']]
êtes vous guéri du cancer	[[5858], [2608], [28742], [11712], [6637]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['ill%3:00:01::', 'sick%3:00:01::', 'illness%1:26:00::', 'malady%1:26:00::', 'sickness%1:26:00::', 'unwellness%1:26:00::', 'patient%1:18:00::', 'come_down%2:29:00::', 'sicken%2:29:00::'], [], ['illness%1:26:00::', 'malady%1:26:00::', 'sickness%1:26:00::', 'unwellness%1:26:00::']]
est ce que la boule vous fait mal	[[], [], [], [8476], [4603], [2608], [30620], [30620]]	[[], [], [], [], ['circle%1:25:00::'], [], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::'], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::']]
avez vous eu un plâtre	[[9001], [2608], [], [8474], [5457]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], [], ['plastered%5:00:00:covered:00', 'sealed%5:00:02:covered:00', 'plaster%1:27:01::', 'plaster_of_paris%1:27:00::']]
en quelle année avez vous reçu une greffe d'organes	[[11709], [22620], [6903], [], [2608], [9001], [8474], [27925], [7074], [24214]]	[[], [], ['twelvemonth%1:28:00::', 'year%1:28:01::', 'yr%1:28:00::'], [], [], ['be%2:42:00::', 'exist%2:42:00::'], [], ['operation%1:04:00::', 'surgery%1:04:01::', 'surgical_operation%1:04:00::', 'surgical_procedure%1:04:00::', 'surgical_process%1:04:00::'], [], ['organ%1:08:00::']]
êtes vous sensible à la lumière	[[5858], [2608], [37159], [37159], [37159], [37159]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['bedazzle%2:39:00::', 'daze%2:39:01::', 'dazzle%2:39:00::'], ['bedazzle%2:39:00::', 'daze%2:39:01::', 'dazzle%2:39:00::'], ['bedazzle%2:39:00::', 'daze%2:39:01::', 'dazzle%2:39:00::'], ['bedazzle%2:39:00::', 'daze%2:39:01::', 'dazzle%2:39:00::']]
avez vous soulevé quelque chose de lourd	[[9001], [2608], [35101], [5374], [11318], [7074], [27025]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['bring_up%2:38:00::', 'elevate%2:38:00::', 'get_up%2:38:00::', 'lift%2:38:00::', 'raise%2:38:00::'], ['about%4:02:00::', 'approximately%4:02:00::', 'around%4:02:03::', 'close_to%4:02:00::', 'just_about%4:02:00::', 'more_or_less%4:02:00::', 'or_so%4:02:00::', 'roughly%4:02:00::', 'some%4:02:00::', 'some%5:00:00:extraordinary:00', 'several%5:00:00:some:00', 'respective%5:00:00:individual:00', 'several%5:00:00:individual:00', 'various%5:00:00:individual:00'], ['thing%1:10:00::', 'thing%1:06:00::', 'object%1:03:00::', 'physical_object%1:03:00::'], [], ['heavy%3:00:01::']]
sentez vous comme une masse dans le ventre	[[30196], [2608], [12313], [8474], [35493], [7034], [8476], [2786]]	[['feel%2:39:00::', 'sense%2:39:00::', 'comprehend%2:39:00::', 'perceive%2:39:00::', 'sensation%1:09:01::', 'sense%1:09:02::', 'sensory_faculty%1:09:00::', 'sentience%1:09:00::', 'sentiency%1:09:00::'], [], [], [], ['weight%1:23:00::', 'weight_unit%1:23:00::', 'system_of_weights%1:23:00::', 'weight%1:23:01::'], [], [], ['belly%1:08:02::', 'paunch%1:08:00::', 'abdomen%1:08:00::', 'belly%1:08:00::', 'stomach%1:08:01::', 'venter%1:08:00::', 'bay_window%1:08:00::', 'corporation%1:08:00::', 'pot%1:08:00::', 'potbelly%1:08:00::', 'tummy%1:08:01::']]
votre cycle est il régulier	[[12285], [32490], [5858], [], [37163]]	[[''], ['catamenia%1:22:00::', 'flow%1:22:01::', 'menses%1:22:00::', 'menstruation%1:22:00::', 'menstruum%1:22:00::', 'period%1:22:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::']]
avez vous des bouffées de chaleur	[[9001], [2608], [8477], [], [], [35561]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], [], [], ['heat%1:07:01::', 'high_temperature%1:07:00::', 'hotness%1:07:00::', 'heat%1:09:00::', 'warmth%1:09:00::']]
depuis combien d'heures avez vous mal	[[7077], [7073], [7074], [7129], [9001], [2608], [30620]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['60_minutes%1:28:00::', 'hour%1:28:00::', 'hr%1:28:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::']]
avez vous mangé quelque chose aujourd'hui	[[9001], [2608], [2349], [5374], [4610], [7131], [7131]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], ['about%4:02:00::', 'approximately%4:02:00::', 'around%4:02:03::', 'close_to%4:02:00::', 'just_about%4:02:00::', 'more_or_less%4:02:00::', 'or_so%4:02:00::', 'roughly%4:02:00::', 'some%4:02:00::', 'some%5:00:00:extraordinary:00', 'several%5:00:00:some:00', 'respective%5:00:00:individual:00', 'several%5:00:00:individual:00', 'various%5:00:00:individual:00'], ['food%1:13:00::', 'solid_food%1:13:00::', 'food%1:03:00::', 'nutrient%1:03:00::'], ['today%4:02:00::'], ['today%4:02:00::']]
la douleur diminue t elle en position debout	[[8476], [2367], [19557], [], [], [11709], [], [13370]]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['lour%2:30:01::', 'lower%2:30:01::'], [], [], [], [], ['stand%2:35:00::', 'stand_up%2:35:00::']]
êtes vous constipé	[[5858], [2608], [7097]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['constipation%1:26:00::', 'irregularity%1:26:00::']]
la douleur vous empêche t elle d'aller à selles	[[8476], [2367], [2608], [9022], [], [], [7074], [3428], [3428], [3428]]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], [], ['ban%2:32:00::', 'disallow%2:32:00::', 'forbid%2:32:00::', 'interdict%2:32:00::', 'nix%2:32:00::', 'prohibit%2:32:00::', 'proscribe%2:32:00::', 'veto%2:32:00::'], [], [], [], ['empty%2:29:00::', 'evacuate%2:29:00::', 'void%2:29:00::', 'ca-ca%2:29:00::', 'crap%2:29:00::', 'defecate%2:29:00::', 'make%2:29:00::', 'shit%2:29:00::', 'stool%2:29:00::', 'take_a_crap%2:29:00::', 'take_a_shit%2:29:00::'], ['empty%2:29:00::', 'evacuate%2:29:00::', 'void%2:29:00::', 'ca-ca%2:29:00::', 'crap%2:29:00::', 'defecate%2:29:00::', 'make%2:29:00::', 'shit%2:29:00::', 'stool%2:29:00::', 'take_a_crap%2:29:00::', 'take_a_shit%2:29:00::'], ['empty%2:29:00::', 'evacuate%2:29:00::', 'void%2:29:00::', 'ca-ca%2:29:00::', 'crap%2:29:00::', 'defecate%2:29:00::', 'make%2:29:00::', 'shit%2:29:00::', 'stool%2:29:00::', 'take_a_crap%2:29:00::', 'take_a_shit%2:29:00::']]
avez vous pu uriner	[[9001], [2608], [11750], [3429]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [''], ['make%2:29:01::', 'make_water%2:29:00::', 'micturate%2:29:00::', 'pass_water%2:29:00::', 'pee%2:29:00::', 'pee-pee%2:29:00::', 'piddle%2:29:00::', 'piss%2:29:00::', 'puddle%2:29:00::', 'relieve_oneself%2:29:00::', 'spend_a_penny%2:29:00::', 'take_a_leak%2:29:00::', 'urinate%2:29:00::', 'wee%2:29:00::', 'wee-wee%2:29:00::']]
êtes vous allergique au paracétamol	[[5858], [2608], [31662], [11709], [8359]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['allergic_reaction%1:26:00::', 'allergy%1:26:00::', 'allergic%5:00:00:susceptible:00', 'hypersensitised%5:00:00:susceptible:00', 'hypersensitive%5:00:00:susceptible:00', 'hypersensitized%5:00:00:susceptible:00', 'sensitised%5:00:00:susceptible:00', 'sensitized%5:00:00:susceptible:00', 'supersensitised%5:00:00:susceptible:00', 'supersensitive%5:00:00:susceptible:00', 'supersensitized%5:00:00:susceptible:00'], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::']]
avez vous eu les oreillons	[[], [2608], [9001], [8477], []]	[[], [], ['be%2:42:00::', 'exist%2:42:00::'], [], []]
avez vous appliqué une crème sur la lésion	[[9001], [2608], [5096], [5096], [5096], [7814], [8476], [5484]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['apply%2:35:00::', 'put_on%2:35:00::', 'spread%2:35:13::'], ['apply%2:35:00::', 'put_on%2:35:00::', 'spread%2:35:13::'], ['apply%2:35:00::', 'put_on%2:35:00::', 'spread%2:35:13::'], [''], [], ['harm%1:26:00::', 'hurt%1:26:00::', 'injury%1:26:00::', 'trauma%1:26:02::', 'cut%1:26:00::', 'gash%1:26:00::', 'slash%1:26:00::', 'slice%1:26:00::']]
depuis combien de jours avez vous mal	[[7077], [7073], [7074], [7022], [9001], [2608], [30620]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::'], ['be%2:42:00::', 'exist%2:42:00::'], [], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::']]
vos vaccins sont ils à jour	[[12287], [30072], [5858], [], [], [5584]]	[[''], ['inoculation%1:04:00::', 'vaccination%1:04:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], [], ['yes%1:10:00::']]
avez vous mal au niveau des reins maintenant	[[9001], [2608], [30620], [11709], [5367], [], [2812], [13026]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::', 'hurt%2:29:02::', 'suffer%2:29:00::', 'ache%2:39:01::', 'hurt%2:39:01::', 'suffer%2:39:00::'], [], ['both%5:00:00:some:00', 'together%4:02:02::', 'joint%3:00:00::', 'close%3:00:05::', 'near%3:00:00::', 'nigh%3:00:00::'], [], ['kidney%1:08:00::'], ['now%4:02:00::', 'nowadays%4:02:00::', 'today%4:02:01::', 'at_present%4:02:00::', 'now%4:02:04::']]
la douleur est elle plus forte le soir	[[8476], [2367], [5858], [], [3220], [], [8476], [7181]]	[[], ['hurting%1:26:00::', 'pain%1:26:00::', 'pain%1:09:00::', 'pain_sensation%1:09:00::', 'painful_sensation%1:09:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['plus_sign%1:10:00::', 'sign%1:10:04::'], [], [], ['night%1:28:02::', 'dark%1:28:00::', 'night%1:28:00::', 'nighttime%1:28:00::', 'night%1:28:03::', 'night%1:28:05::']]
avez vous des tremblements	[[9001], [2608], [8477], []]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], []]
depuis combien de jours êtes vous fatigué	[[7077], [7073], [7074], [7022], [5858], [2608], [2314]]	[[], ['amount%1:03:00::', 'measure%1:03:00::', 'quantity%1:03:00::', 'interrogation%1:10:01::', 'interrogative%1:10:00::', 'interrogative_sentence%1:10:00::', 'question%1:10:03::'], [], ['day%1:28:02::', 'daylight%1:28:00::', 'daytime%1:28:00::'], ['be%2:42:03::', 'be%2:42:06::'], [], ['tired%3:00:00::', 'dog-tired%5:00:00:tired:00', 'exhausted%5:00:00:tired:00', 'fagged%5:00:00:tired:00', 'fatigued%5:00:00:tired:00', 'gone%5:00:00:tired:00', 'played_out%5:00:00:tired:00', 'spent%5:00:00:tired:00', 'washed-out%5:00:00:tired:00', 'worn-out%5:00:00:tired:00', 'worn_out%5:00:00:tired:00']]
votre dos s'est déjà bloqué avant	[[12285], [2748], [], [5858], [37162], [], [5451]]	[[''], ['back%1:08:00::', 'dorsum%1:08:01::'], [], ['be%2:42:03::', 'be%2:42:06::'], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], [], ['above%4:02:01::', 'higher_up%4:02:00::', 'in_a_higher_place%4:02:00::', 'to_a_higher_place%4:02:00::']]
quand avez vous reçu un coup au dos	[[22621], [], [2608], [9001], [8474], [9000], [11709], [2748]]	[[], [], [], ['be%2:42:00::', 'exist%2:42:00::'], [], ['plug%2:35:00::', 'punch%2:35:00::', 'box%2:35:00::', 'biff%1:04:00::', 'clout%1:04:00::', 'lick%1:04:01::', 'poke%1:04:00::', 'punch%1:04:00::', 'slug%1:04:00::', 'beat%2:35:01::', 'beat_up%2:35:01::', 'work_over%2:35:00::'], [], ['back%1:08:00::', 'dorsum%1:08:01::']]
devez vous faire une dialyse	[[15525], [2608], [9001], [8474], [32494]]	[['compel%2:41:00::', 'obligate%2:41:00::', 'oblige%2:41:00::'], [], ['be%2:42:00::', 'exist%2:42:00::'], [], ['dialysis%1:04:00::']]
êtes vous allergique aux poils de chats	[[5858], [2608], [31662], [11709], [24256], [7074], [2406]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['allergic_reaction%1:26:00::', 'allergy%1:26:00::', 'allergic%5:00:00:susceptible:00', 'hypersensitised%5:00:00:susceptible:00', 'hypersensitive%5:00:00:susceptible:00', 'hypersensitized%5:00:00:susceptible:00', 'sensitised%5:00:00:susceptible:00', 'sensitized%5:00:00:susceptible:00', 'supersensitised%5:00:00:susceptible:00', 'supersensitive%5:00:00:susceptible:00', 'supersensitized%5:00:00:susceptible:00'], [], ['hair%1:08:01::', 'pilus%1:08:00::', 'hair%1:08:00::'], [], ['cat%1:05:00::', 'true_cat%1:05:00::', 'kitty%1:05:01::', 'kitty-cat%1:05:00::', 'puss%1:05:00::', 'pussy%1:05:00::', 'pussycat%1:05:00::']]
enflez vous avec ce médicament	[[15399], [2608], [7064], [8476], [8359]]	[['speech_therapy%1:04:00::', 'blow_up%2:30:04::', 'inflate%2:30:00::', 'cheek%1:08:00::'], [], [], [], ['medicament%1:06:00::', 'medication%1:06:00::', 'medicinal_drug%1:06:00::', 'medicine%1:06:00::']]
êtes vous tombé	[[5858], [2608], [4582]]	[['be%2:42:03::', 'be%2:42:06::'], [], ['fall%2:38:15::', 'fall_down%2:38:15::', 'fall%2:38:03::', 'fall%2:38:14::', 'fall_over%2:29:00::', 'go_over%2:29:00::']]
avez vous des animaux à la maison	[[9001], [2608], [8477], [25654], [7041], [8476], [2317]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['pet%1:05:00::'], [], [], ['house%1:06:00::', 'family%1:14:02::', 'home%1:14:00::', 'house%1:14:05::', 'household%1:14:00::', 'menage%1:14:00::']]
est ce que le pied était rouge	[[], [], [], [8476], [2841], [5858], [2808]]	[[], [], [], [], ['foot%1:08:01::', 'human_foot%1:08:00::', 'pes%1:08:00::'], ['be%2:42:03::', 'be%2:42:06::'], ['blood-red%5:00:00:chromatic:00', 'carmine%5:00:00:chromatic:00', 'cerise%5:00:00:chromatic:00', 'cherry%5:00:00:chromatic:00', 'cherry-red%5:00:00:chromatic:00', 'crimson%5:00:00:chromatic:00', 'red%5:00:01:chromatic:00', 'reddish%5:00:00:chromatic:00', 'ruby%5:00:00:chromatic:00', 'ruby-red%5:00:00:chromatic:00', 'ruddy%5:00:00:chromatic:00', 'scarlet%5:00:00:chromatic:00']]
avez vous eu un bleu sur la cheville	[[], [2608], [9001], [8474], [8170], [7814], [8476], [3405]]	[[], [], ['be%2:42:00::', 'exist%2:42:00::'], [], ['bruise%1:26:00::', 'contusion%1:26:00::'], [''], [], ['ankle%1:08:00::', 'ankle_joint%1:08:00::', 'articulatio_talocruralis%1:08:00::', 'mortise_joint%1:08:00::']]
avez vous arrêté de prendre des vitamines	[[9001], [2608], [7196], [7074], [2349], [8477], [9170]]	[['be%2:42:00::', 'exist%2:42:00::'], [], ['stop%2:38:01::', 'intercept%2:35:00::', 'stop%2:35:00::'], [], ['eat%2:34:00::', 'consume%2:34:00::', 'have%2:34:00::', 'ingest%2:34:00::', 'take%2:34:00::', 'take_in%2:34:00::'], [], ['vitamin%1:27:00::']]
buvez vous beaucoup de café	[[2276], [2608], [5521], [7074], [2296]]	[['drink%2:34:00::', 'imbibe%2:34:00::'], [], ['a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::', 'much%4:02:00::', 'a_good_deal%4:02:00::', 'a_great_deal%4:02:00::', 'a_lot%4:02:00::', 'lots%4:02:00::', 'much%4:02:04::', 'very_much%4:02:01::'], [], ['coffee%1:13:00::', 'java%1:13:00::']]
avez vous des frissons	[[9001], [2608], [8477], [7109]]	[['be%2:42:00::', 'exist%2:42:00::'], [], [], ['shiver%2:29:00::', 'shudder%2:29:00::']]
vous êtes vous déjà cassé la hanche	[[2608], [5858], [], [37162], [6604], [8476], [3000]]	[[], ['be%2:42:03::', 'be%2:42:06::'], [], ['again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::', 'over_again%4:02:00::'], ['break%2:30:10::', 'carve_up%2:41:00::', 'dissever%2:41:00::', 'divide%2:41:00::', 'separate%2:41:01::', 'split%2:41:03::', 'split_up%2:41:02::', 'bust%2:35:02::', 'rupture%2:35:00::', 'snap%2:35:01::', 'tear%2:35:00::'], [], ['hip%1:08:00::']]
